 film_id |            title            
---------+-----------------------------
       2 | ACE GOLDFINGER
       3 | ADAPTATION HOLES
       4 | AFFAIR PREJUDICE
       5 | AFRICAN EGG
       6 | AGENT TRUMAN
       7 | AIRPLANE SIERRA
       8 | AIRPORT POLLOCK
       9 | ALABAMA DEVIL
      10 | ALADDIN CALENDAR
      15 | ALIEN CENTER
      13 | ALI FOREVER
      16 | ALLEY EVOLUTION
      20 | AMELIE HELLFIGHTERS
      21 | AMERICAN CIRCUS
      22 | AMISTAD MIDSUMMER
      24 | ANALYZE HOOSIERS
      25 | ANGELS LIFE
      28 | ANTHEM LUKE
      29 | ANTITRUST TOMATOES
      30 | ANYTHING SAVANNAH
      31 | APACHE DIVINE
      32 | APOCALYPSE FLAMINGOS
      33 | APOLLO TEEN
      35 | ARACHNOPHOBIA ROLLERCOASTER
      37 | ARIZONA BANG
      42 | ARTIST COLDBLOODED
      43 | ATLANTIS CAUSE
      44 | ATTACKS HATE
      45 | ATTRACTION NEWTON
      46 | AUTUMN CROW
      47 | BABY HALL
      48 | BACKLASH UNDEFEATED
      49 | BADMAN DAWN
      50 | BAKED CLEOPATRA
      51 | BALLOON HOMEWARD
      53 | BANG KWAI
      55 | BARBARELLA STREETCAR
      56 | BAREFOOT MANCHURIAN
      57 | BASIC EASY
      58 | BEACH HEARTBREAKERS
      59 | BEAR GRACELAND
      60 | BEAST HUNCHBACK
      61 | BEAUTY GREASE
      62 | BED HIGHBALL
      65 | BEHAVIOR RUNAWAY
      67 | BERETS AGENT
      68 | BETRAYED REAR
      69 | BEVERLY OUTLAW
      70 | BIKINI BORROWERS
      71 | BILKO ANONYMOUS
      72 | BILL OTHERS
      73 | BINGO TALENTED
      74 | BIRCH ANTITRUST
      75 | BIRD INDEPENDENCE
      77 | BIRDS PERDITION
      78 | BLACKOUT PRIVATE
      80 | BLANKET BEVERLY
      81 | BLINDNESS GUN
      83 | BLUES INSTINCT
      84 | BOILED DARES
      86 | BOOGIE AMELIE
      88 | BORN SPINAL
      92 | BOWFINGER GABLES
      93 | BRANNIGAN SUNRISE
      94 | BRAVEHEART HUMAN
      95 | BREAKFAST GOLDFINGER
      96 | BREAKING HOME
      98 | BRIGHT ENCOUNTERS
      99 | BRINGING HYSTERICAL
     100 | BROOKLYN DESERT
     102 | BUBBLE GROSSE
     103 | BUCKET BROTHERHOOD
     104 | BUGSY SONG
     106 | BULWORTH COMMANDMENTS
     107 | BUNCH MINDS
     112 | CALENDAR GUNFIGHT
     113 | CALIFORNIA BIRDS
     115 | CAMPUS REMEMBER
     116 | CANDIDATE PERDITION
     117 | CANDLES GRAPES
     120 | CARIBBEAN LIBERTY
     121 | CAROL TEXAS
     123 | CASABLANCA SUPER
     124 | CASPER DRAGONFLY
     125 | CASSIDY WYOMING
     126 | CASUALTIES ENCINO
     127 | CAT CONEHEADS
     129 | CAUSE DATE
     131 | CENTER DINOSAUR
     133 | CHAMBER ITALIAN
     134 | CHAMPION FLATLINERS
     135 | CHANCE RESURRECTION
     136 | CHAPLIN LICENSE
     137 | CHARADE DUFFEL
     138 | CHARIOTS CONSPIRACY
     139 | CHASING FIGHT
     141 | CHICAGO NORTH
     144 | CHINATOWN GLADIATOR
     145 | CHISUM BEHAVIOR
     146 | CHITTY LOCK
     148 | CHOCOLATE DUCK
     150 | CIDER DESIRE
     151 | CINCINATTI WHISPERER
     152 | CIRCUS YOUTH
     154 | CLASH FREDDY
     156 | CLERKS ANGELS
     158 | CLONES PINOCCHIO
     159 | CLOSER BANG
     161 | CLUE GRAIL
     162 | CLUELESS BUCKET
     165 | COLDBLOODED DARLING
     166 | COLOR PHILADELPHIA
     167 | COMA HEAD
     169 | COMFORTS RUSH
     170 | COMMAND DARLING
     171 | COMMANDMENTS EXPRESS
     172 | CONEHEADS SMOOCHY
     173 | CONFESSIONS MAGUIRE
     174 | CONFIDENTIAL INTERVIEW
     175 | CONFUSED CANDLES
     177 | CONNECTICUT TRAMP
     179 | CONQUERER NUTS
     180 | CONSPIRACY SPIRIT
     181 | CONTACT ANONYMOUS
     182 | CONTROL ANTHEM
     183 | CONVERSATION DOWNHILL
     184 | CORE SUIT
     185 | COWBOY DOOM
     187 | CRANES RESERVOIR
     188 | CRAZY HOME
     190 | CREEPERS KANE
     192 | CROSSING DIVORCE
     193 | CROSSROADS CASUALTIES
     195 | CROWDS TELEMARK
     197 | CRUSADE HONEY
     198 | CRYSTAL BREAKING
     199 | CUPBOARD SINNERS
     201 | CYCLONE FAMILY
     202 | DADDY PITTSBURGH
     203 | DAISY MENAGERIE
     207 | DANGEROUS UPTOWN
     208 | DARES PLUTO
     209 | DARKNESS WAR
     210 | DARKO DORADO
     211 | DARLING BREAKING
     212 | DARN FORRESTER
     214 | DAUGHTER MADIGAN
     215 | DAWN POND
     216 | DAY UNFAITHFUL
     217 | DAZED PUNK
     219 | DEEP CRUSADE
     220 | DEER VIRGINIAN
     222 | DESERT POSEIDON
     223 | DESIRE ALIEN
     224 | DESPERATE TRAINSPOTTING
     226 | DESTINY SATURDAY
     227 | DETAILS PACKER
     229 | DEVIL DESIRE
     230 | DIARY PANIC
     231 | DINOSAUR SECRETARY
     232 | DIRTY ACE
     234 | DISTURBING SCARFACE
     235 | DIVIDE MONSTER
     236 | DIVINE RESURRECTION
     237 | DIVORCE SHINING
     238 | DOCTOR GRAIL
     239 | DOGMA FAMILY
     240 | DOLLS RAGE
     243 | DOORS PRESIDENT
     244 | DORADO NOTTING
     246 | DOUBTFIRE LABYRINTH
     248 | DOZEN LION
     251 | DRAGONFLY STRANGERS
     252 | DREAM PICKUP
     253 | DRIFTER COMMANDMENTS
     254 | DRIVER ANNIE
     255 | DRIVING POLISH
     256 | DROP WATERFRONT
     259 | DUCK RACER
     260 | DUDE BLINDNESS
     263 | DURHAM PANKY
     264 | DWARFS ALTER
     265 | DYING MAKER
     267 | EAGLES PANKY
     268 | EARLY HOME
     271 | EASY GLADIATOR
     272 | EDGE KISSING
     274 | EGG IGBY
     276 | ELEMENT FREDDY
     277 | ELEPHANT TROJAN
     278 | ELF MURDER
     279 | ELIZABETH SHANE
     284 | ENEMY ODDS
     286 | ENOUGH RAGING
